Video ID,Title,Channel,Channel Subscribers,View Count,Likes,Dislikes,Comment Count,Published Date,Duration
0jVyvDrqnV4,Israeli military reportedly kills top Hamas leader in 'significant' strike,Fox News,10900000,320738,4076,208,825,2023-10-17T15:23:20Z,221
M-XgZ3ez7RM,Senator calls for immediate deportation of Hamas supporters,Fox News,10900000,401937,14567,-1,3720,2023-10-17T16:00:18Z,82
taFkXIeVyjM,Israeli mother living her 'worst nightmare' after daughter was taken hostage by Hamas,Fox News,10900000,18150,307,6,183,2023-10-17T14:30:31Z,195
lkBCab0DjUQ,'DISCRIMINATION': Professor urges law firms against hiring anti-Israel students,Fox News,10900000,56548,1452,-1,619,2023-10-17T20:30:05Z,190
20gaT9-THeM,Senate Republicans hold a press conference on Israel-Hamas war,Fox News,10900000,46884,1207,30,255,2023-10-17T15:53:31Z,1861
v01Wk409ilQ,DeSantis says US should not take refugees from Gaza,Fox News,10900000,18433,609,-1,311,2023-10-17T16:30:14Z,967
gdBrK8q1b8g,"Hamas is just like ISIS, and they're using Palestinians as cannon fodder: Ayaan Hirsi Ali",Fox News,10900000,52657,1225,208,459,2023-10-17T19:00:14Z,328
1Pp3IjcqW6Y,'60 Minutes' ripped for 'crazy' softball questions to Biden,Fox News,10900000,48306,1018,-1,282,2023-10-17T17:00:02Z,882
HrgWbmFdxTo,Harvard students ask for donations after taking anti-Israel stance,Fox News,10900000,67916,2723,-1,1875,2023-10-17T12:00:11Z,123
O9PoQ54V55M,'SICK AND PATHETIC': Dems spark fury with calls for ceasefire in Mideast,Fox News,10900000,171609,5795,88,2434,2023-10-17T13:00:16Z,347
6SNVhcVSX4Q,Jewish student denounces anti-Israel protests: 'Supposed to be a safe place',Fox News,10900000,68906,1386,-1,677,2023-10-17T12:30:03Z,339
IRCzZsbJNn8,Iran issues ANOTHER threat to Israel: 'New fronts will be opened',Fox News,10900000,215055,2151,618,1493,2023-10-17T11:00:12Z,266
2yVNG7ZzVwo,Biden to visit Israel as U.S. readies non-combat troops for deployment,Fox News,10900000,28246,421,-1,363,2023-10-17T10:30:00Z,343
pfuU9CvjzF4,Israeli military preps Gaza invasion as it fends off aggression at Lebanon border,Fox News,10900000,136123,1150,-1,63,2023-10-17T17:31:30Z,28351
3j19ngU8f6I,"Apparently, burning babies doesn’t count as injustice to the left: author",Fox News,10900000,50151,1365,223,487,2023-10-17T06:45:00Z,256
L0vhy_GP6_E,DeSantis: 'No leadership' meant Florida had to 'fill void' on evacuations from Israel,Fox News,10900000,44759,1761,-1,469,2023-10-17T10:00:15Z,276
